year,chapter,total,discharged,dismissed,other,discharge_rate_pct,dismissal_rate_pct
1996,11,16,2,4,10,12.5,25.0
1996,13,345,117,168,60,33.91,48.7
1996,7,588,471,10,107,80.1,1.7
1997,11,15,0,3,12,0.0,20.0
1997,13,806,241,226,339,29.9,28.04
1997,7,1594,1062,5,527,66.62,0.31
1998,11,18,3,2,13,16.67,11.11
1998,13,898,264,360,274,29.4,40.09
1998,7,2663,1933,29,701,72.59,1.09
1999,11,21,1,7,13,4.76,33.33
1999,13,924,271,467,186,29.33,50.54
1999,7,2268,2165,27,76,95.46,1.19
2000,11,23,1,5,17,4.35,21.74
2000,13,1678,598,715,365,35.64,42.61
2000,7,2112,2002,28,82,94.79,1.33
2001,11,47,4,11,32,8.51,23.4
2001,13,3687,1558,1540,589,42.26,41.77
2001,7,3850,3650,69,131,94.81,1.79
2002,11,33,2,4,27,6.06,12.12
2002,13,4371,1887,2110,374,43.17,48.27
2002,7,4350,4152,72,126,95.45,1.66
2003,11,43,2,13,28,4.65,30.23
2003,13,6060,2375,3183,502,39.19,52.52
2003,7,6407,6135,115,157,95.75,1.79
2004,11,36,3,7,26,8.33,19.44
2004,13,4745,1876,2593,276,39.54,54.65
2004,7,4398,4206,71,121,95.63,1.61
2005,11,34,5,9,20,14.71,26.47
2005,13,4138,1997,2038,103,48.26,49.25
2005,7,6610,6378,65,167,96.49,0.98
2006,11,22,2,12,8,9.09,54.55
2006,13,2802,1204,1487,111,42.97,53.07
2006,7,2203,2015,51,137,91.47,2.32
2007,11,48,3,21,24,6.25,43.75
2007,13,3348,1484,1732,132,44.32,51.73
2007,7,3435,3103,83,249,90.33,2.42
2008,11,80,6,23,51,7.5,28.75
2008,13,3069,1638,1324,107,53.37,43.14
2008,7,3671,3223,85,363,87.8,2.32
2009,11,154,11,39,104,7.14,25.32
2009,13,3040,1947,999,94,64.05,32.86
2009,7,3981,3429,72,480,86.13,1.81
2010,11,211,24,71,116,11.37,33.65
2010,13,3371,2150,1088,133,63.78,32.28
2010,7,4635,4054,75,506,87.46,1.62
2011,11,227,26,59,142,11.45,25.99
2011,13,3318,2131,1023,164,64.23,30.83
2011,7,4023,3504,71,448,87.1,1.76
2012,11,148,17,51,80,11.49,34.46
2012,13,2817,1702,946,169,60.42,33.58
2012,7,3193,2782,78,333,87.13,2.44
2013,11,179,25,46,108,13.97,25.7
2013,13,2839,1603,1033,203,56.46,36.39
2013,7,3582,3074,116,392,85.82,3.24
2014,11,157,17,40,100,10.83,25.48
2014,13,3283,1757,1228,298,53.52,37.4
2014,7,3752,3231,126,395,86.11,3.36
2015,11,163,15,33,115,9.2,20.25
2015,13,3318,1659,1275,384,50.0,38.43
2015,7,3393,2843,124,426,83.79,3.65
2016,11,205,14,42,149,6.83,20.49
2016,13,3631,1756,1318,557,48.36,36.3
2016,7,3246,2718,78,450,83.73,2.4
2017,11,175,4,49,122,2.29,28.0
2017,13,3942,1981,1377,584,50.25,34.93
2017,7,3404,2883,81,440,84.69,2.38
2018,11,241,8,59,174,3.32,24.48
2018,13,4431,2307,1449,675,52.06,32.7
2018,7,3448,2863,70,515,83.03,2.03
2019,11,235,2,46,187,0.85,19.57
2019,13,5538,2610,1557,1371,47.13,28.11
2019,7,3820,2891,65,864,75.68,1.7
2020,11,200,6,32,162,3.0,16.0
2020,13,3072,1643,807,622,53.48,26.27
2020,7,2561,2065,65,431,80.63,2.54
2021,11,219,10,44,165,4.57,20.09
2021,13,2527,650,780,1097,25.72,30.87
2021,7,2029,1677,55,297,82.65,2.71
2022,11,190,8,26,156,4.21,13.68
2022,13,2894,390,859,1645,13.48,29.68
2022,7,1587,1265,43,279,79.71,2.71
2023,11,314,4,27,283,1.27,8.6
2023,13,3682,94,1010,2578,2.55,27.43
2023,7,1951,1456,24,471,74.63,1.23
2024,11,725,6,40,679,0.83,5.52
2024,13,4201,31,924,3246,0.74,21.99
2024,7,3280,2505,17,758,76.37,0.52
2025,11,1119,3,20,1096,0.27,1.79
2025,13,4025,4,502,3519,0.1,12.47
2025,7,3847,2642,31,1174,68.68,0.81
