district,total_cases,ch7,ch13,ch11,ap,ch7_discharge_rate,ch13_discharge_rate,ch7_joint_rate,ch13_joint_rate,overall_discharge_rate,overall_dismissal_rate,reopening_rate,joint_filing_rate,multifiler_rate
flsbk,43932,20918,19270,1083,2648,88.59,49.01,18.56,26.33,64.12,25.64,3.44,20.72,7.71
mowbk,42263,20441,20900,172,734,95.16,39.42,22.79,23.6,65.55,17.74,4.08,22.78,14.64
ksbk,41650,18673,22176,238,522,92.49,53.7,20.67,24.29,70.1,12.61,1.68,22.26,16.79
txsbk,30412,11510,18641,250,10,92.04,33.47,0.02,0.02,55.35,34.64,1.24,0.02,13.2
ilnbk,10161,6696,3084,290,91,48.67,29.73,11.59,20.72,41.1,14.15,0.64,13.96,4.01
cacbk,5938,5129,744,10,55,97.25,35.08,21.74,24.19,88.4,8.94,1.25,21.86,4.95
flmbk,5699,3251,2136,158,152,87.54,28.37,24.33,33.43,60.94,21.79,2.16,26.86,5.02
moebk,4491,1691,2739,32,11,31.82,6.83,14.73,7.12,16.17,11.73,0.67,9.91,4.54
ohnbk,4214,3250,273,19,672,94.4,49.45,24.34,34.07,76.03,7.05,1.85,21.64,4.58
insbk,2094,489,1415,183,6,51.33,27.99,22.29,31.59,30.9,6.69,1.58,26.55,2.96
tnwbk,1980,568,1250,121,41,75.18,10.96,10.04,5.2,28.48,30.1,1.67,6.21,13.54
ganbk,1708,938,197,566,5,33.9,16.75,11.3,8.12,20.55,2.17,1.0,7.14,5.09
paebk,1674,410,1098,158,6,0.49,0.09,0.0,0.0,0.18,0.06,0.0,0.0,8.24
njbk,1647,526,1054,53,14,82.7,12.05,10.27,18.41,34.61,18.28,2.19,15.42,4.98
wiebk,1520,903,549,2,66,97.45,39.16,28.9,40.98,72.04,21.12,2.3,32.24,3.09
innbk,1486,303,1118,64,1,32.01,25.4,12.87,31.13,25.64,10.5,1.01,26.04,3.84
mabk,1441,1290,66,19,65,91.71,36.36,27.13,22.73,83.83,3.26,4.93,25.33,0.83
vaebk,1339,512,546,204,74,0.59,10.26,0.2,4.21,4.41,2.24,0.67,1.94,6.95
miebk,1317,611,483,208,12,4.09,11.8,1.15,5.59,6.23,5.77,0.84,2.66,3.87
kyebk,1203,289,790,78,41,31.49,30.76,14.19,34.68,27.85,8.56,2.0,26.35,3.99
txnbk,1183,320,291,567,4,1.25,0.34,0.94,0.34,0.42,0.25,0.17,0.42,2.7
nyebk,1087,1014,61,1,11,96.65,24.59,22.78,32.79,91.54,4.6,1.38,23.09,3.86
almbk,1039,170,850,18,1,4.12,0.47,1.18,0.24,1.06,0.48,0.0,0.38,6.83
mdbk,902,420,139,283,59,8.81,1.44,2.62,0.0,4.32,1.66,1.11,1.33,5.1
alnbk,846,308,415,116,3,1.62,0.72,0.97,1.69,0.95,0.35,0.47,1.18,5.79
caebk,781,625,147,3,6,94.88,47.62,38.4,57.14,84.89,11.27,3.2,41.49,8.19
scbk,774,301,334,137,0,0.33,0.3,0.0,0.0,0.26,0.0,0.0,0.0,5.17
ncebk,671,187,220,255,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87
arwbk,632,228,305,51,43,60.53,36.07,32.02,27.21,39.24,9.34,0.95,25.0,4.75
kywbk,619,29,584,2,3,89.66,34.25,17.24,37.16,36.67,15.35,2.42,36.03,0.32
ohsbk,613,285,163,130,35,17.19,1.23,5.61,1.84,8.32,0.98,0.16,3.1,4.73
arebk,513,234,192,49,26,29.91,6.25,8.55,2.08,16.37,5.85,0.97,5.07,6.43
flnbk,443,220,213,8,1,95.0,27.23,38.18,31.92,60.5,30.25,2.26,34.99,2.48
ncmbk,441,86,334,19,2,0.0,0.3,0.0,0.6,0.23,0.91,0.0,0.45,3.17
mnbk,405,379,16,0,10,99.47,12.5,22.69,25.0,93.58,3.7,0.25,22.47,1.48
nvbk,327,164,78,74,11,86.59,37.18,29.88,28.21,58.1,33.33,11.01,30.58,12.84
nysbk,135,74,13,29,12,83.78,30.77,12.16,15.38,48.89,10.37,2.96,8.15,2.96
ctbk,126,74,19,21,12,81.08,10.53,43.24,63.16,49.21,21.43,4.76,37.3,11.9
gambk,107,31,74,1,1,96.77,81.08,22.58,28.38,84.11,13.08,2.8,26.17,0.0
okwbk,106,102,2,0,2,97.06,50.0,45.1,0.0,94.34,0.94,0.0,43.4,0.0
wiwbk,101,50,39,3,7,98.0,48.72,48.0,51.28,68.32,23.76,1.98,45.54,3.96
