court,office,total,ch7,ch13,ch11,ch13_pct
mowbk,4,30430,13773,15990,93,52.5
txsbk,4,29642,11187,18220,226,61.5
flsbk,1,22859,11753,8639,412,37.8
ksbk,2,22344,10596,11228,155,50.3
flsbk,9,10699,3853,6301,306,58.9
flsbk,0,10374,5312,4330,365,41.7
ksbk,5,9424,2793,6550,11,69.5
ilnbk,1,7116,4484,2494,49,35.0
ksbk,6,6999,4465,2416,15,34.5
mowbk,6,6384,4505,1739,25,27.2
ohnbk,1,4168,3223,266,18,6.4
cacbk,2,2557,2134,377,3,14.7
mowbk,5,2450,968,1424,30,58.1
flmbk,8,2401,1218,987,103,41.1
cacbk,6,2032,1811,218,1,10.7
flmbk,6,1547,1041,445,22,28.8
wiebk,2,1520,903,549,2,36.1
mabk,4,1315,1187,52,14,4.0
tnwbk,2,1304,451,812,0,62.3
moebk,4,1303,583,707,4,54.3
njbk,2,1202,369,784,42,65.2
flmbk,3,1106,607,461,23,41.7
nyebk,1,1055,991,57,1,5.4
insbk,1,999,229,760,4,76.1
mowbk,2,897,444,435,3,48.5
mowbk,3,756,518,219,2,29.0
flmbk,2,645,385,243,10,37.7
txsbk,3,623,214,398,11,63.9
caebk,1,592,455,129,3,21.8
innbk,2,565,30,534,0,94.5
