court,office,total,discharged,dismissed,discharge_rate_pct
mowbk,4,30430,21001,6812,69.0
txsbk,4,29642,17024,11010,57.4
flsbk,1,22859,14994,6474,65.6
ksbk,2,22344,16837,2886,75.4
flsbk,9,10699,7434,2360,69.5
flsbk,0,10374,6736,2992,64.9
ksbk,5,9424,6738,1425,71.5
ilnbk,1,7116,5377,1296,75.6
ksbk,6,6999,5813,409,83.1
mowbk,6,6384,5563,468,87.1
ohnbk,1,4168,3230,585,77.5
cacbk,2,2557,2215,294,86.6
mowbk,5,2450,1253,315,51.1
flmbk,8,2401,1504,635,62.6
cacbk,6,2032,1865,156,91.8
flmbk,6,1547,1025,241,66.3
wiebk,2,1520,1104,260,72.6
mabk,4,1315,1161,43,88.3
tnwbk,2,1304,567,705,43.5
moebk,4,1303,737,552,56.6
njbk,2,1202,437,269,36.4
flmbk,3,1106,649,283,58.7
nyebk,1,1055,985,64,93.4
insbk,1,999,469,109,46.9
mowbk,2,897,600,113,66.9
mowbk,3,756,546,70,72.2
flmbk,2,645,425,121,65.9
txsbk,3,623,298,216,47.8
caebk,1,592,514,67,86.8
innbk,2,565,197,90,34.9
