district,n,p25_days,p50_days,p75_days,p90_days
ksbk,11908,1274,1630,1900,1974
flsbk,9445,1188,1660,1875,1939
mowbk,8239,1336,1700,1843,1922
txsbk,6239,1524,1862,1916,1971
ilnbk,917,1363,1742,1881,1982
flmbk,606,981,1304,1849,1939
insbk,396,1536,1881,1935,2013
innbk,284,1658,1955,2133,2329
cacbk,261,1483,1873,1973,2058
kyebk,243,1750,1855,1890,1941
wiebk,215,1157,1480,1897,1988
kywbk,200,1785,1863,1922,2031
moebk,187,1107,1320,1826,1896
tnwbk,137,1560,1880,2000,2097
ohnbk,135,1056,1306,1814,2007
njbk,127,1192,1895,1966,2223
arwbk,110,1255,1574,1919,2032
