year,chapter,joint_count,individual_count,total,joint_pct
1986,7,10,9,19,52.63
1987,7,4,10,14,28.57
1987,AP,0,5,5,0.0
1988,13,3,4,7,42.86
1988,7,16,19,35,45.71
1989,11,0,6,6,0.0
1989,13,4,5,9,44.44
1989,7,23,47,70,32.86
1989,AP,0,13,13,0.0
1990,11,2,18,20,10.0
1990,13,15,25,40,37.5
1990,7,55,104,159,34.59
1990,AP,0,26,26,0.0
1991,11,4,31,35,11.43
1991,13,28,36,64,43.75
1991,7,79,154,233,33.91
1991,AP,0,63,63,0.0
1992,11,4,39,43,9.3
1992,13,26,38,64,40.62
1992,7,77,154,231,33.33
1992,AP,0,50,50,0.0
1993,11,2,27,29,6.9
1993,12,1,4,5,20.0
1993,13,51,66,117,43.59
1993,7,72,123,195,36.92
1993,AP,0,64,64,0.0
1994,11,2,18,20,10.0
1994,13,41,107,148,27.7
1994,7,74,205,279,26.52
1994,AP,0,73,73,0.0
1995,11,1,20,21,4.76
1995,13,68,171,239,28.45
1995,7,104,283,387,26.87
1995,AP,0,78,78,0.0
1996,11,1,15,16,6.25
1996,13,98,247,345,28.41
1996,7,147,441,588,25.0
1996,AP,0,89,89,0.0
1997,11,1,14,15,6.67
1997,13,141,665,806,17.49
1997,7,467,1127,1594,29.3
1997,AP,1,93,94,1.06
1998,11,1,17,18,5.56
1998,13,177,721,898,19.71
1998,7,625,2038,2663,23.47
1998,AP,0,114,114,0.0
1999,11,1,20,21,4.76
1999,13,183,741,924,19.81
1999,7,568,1700,2268,25.04
1999,AP,0,116,116,0.0
2000,11,0,23,23,0.0
2000,13,322,1356,1678,19.19
2000,7,465,1647,2112,22.02
2000,AP,0,109,109,0.0
2001,11,1,46,47,2.13
2001,13,929,2758,3687,25.2
2001,7,874,2976,3850,22.7
2001,AP,0,112,112,0.0
2002,11,1,32,33,3.03
2002,13,1035,3336,4371,23.68
2002,7,982,3368,4350,22.57
2002,AP,0,206,206,0.0
2003,11,3,40,43,6.98
2003,13,1290,4770,6060,21.29
2003,7,1486,4921,6407,23.19
2003,AP,3,191,194,1.55
2004,11,2,34,36,5.56
2004,13,680,4065,4745,14.33
2004,7,878,3520,4398,19.96
2004,AP,8,171,179,4.47
2005,11,1,33,34,2.94
2005,13,619,3519,4138,14.96
2005,7,1069,5541,6610,16.17
2005,AP,11,197,208,5.29
2006,11,1,21,22,4.55
2006,13,453,2349,2802,16.17
2006,7,292,1911,2203,13.25
2006,AP,5,389,394,1.27
2007,11,2,46,48,4.17
2007,13,682,2666,3348,20.37
2007,7,548,2887,3435,15.95
2007,AP,7,149,156,4.49
2008,11,5,75,80,6.25
2008,13,715,2354,3069,23.3
2008,7,652,3019,3671,17.76
2008,AP,12,183,195,6.15
2009,11,10,144,154,6.49
2009,13,883,2157,3040,29.05
2009,7,882,3099,3981,22.16
2009,AP,23,245,268,8.58
2010,11,23,188,211,10.9
2010,13,1030,2341,3371,30.55
2010,7,1016,3619,4635,21.92
2010,AP,18,360,378,4.76
2011,11,25,202,227,11.01
2011,13,863,2455,3318,26.01
2011,7,888,3135,4023,22.07
2011,AP,23,285,308,7.47
2012,11,18,130,148,12.16
2012,13,709,2108,2817,25.17
2012,7,678,2515,3193,21.23
2012,AP,7,369,376,1.86
2013,11,21,158,179,11.73
2013,13,684,2155,2839,24.09
2013,7,661,2921,3582,18.45
2013,AP,4,326,330,1.21
2014,11,14,143,157,8.92
2014,12,0,6,6,0.0
2014,13,678,2605,3283,20.65
2014,7,626,3126,3752,16.68
2014,AP,2,235,237,0.84
2015,11,8,155,163,4.91
2015,13,613,2705,3318,18.47
2015,7,528,2865,3393,15.56
2015,AP,2,274,276,0.72
2016,11,7,198,205,3.41
2016,13,585,3046,3631,16.11
2016,7,525,2721,3246,16.17
2016,AP,1,127,128,0.78
2017,11,5,170,175,2.86
2017,12,1,4,5,20.0
2017,13,748,3194,3942,18.98
2017,7,525,2879,3404,15.42
2017,AP,4,111,115,3.48
2018,11,9,232,241,3.73
2018,12,1,6,7,14.29
2018,13,795,3636,4431,17.94
2018,7,465,2983,3448,13.49
2018,AP,2,105,107,1.87
2019,11,0,235,235,0.0
2019,13,928,4610,5538,16.76
2019,7,459,3361,3820,12.02
2019,AP,1,74,75,1.33
2020,11,2,198,200,1.0
2020,12,0,6,6,0.0
2020,13,589,2483,3072,19.17
2020,7,300,2261,2561,11.71
2020,AP,2,102,104,1.92
2021,11,4,215,219,1.83
2021,13,409,2118,2527,16.19
2021,7,175,1854,2029,8.62
2021,AP,0,79,79,0.0
2022,11,2,188,190,1.05
2022,13,465,2429,2894,16.07
2022,7,150,1437,1587,9.45
2022,AP,0,67,67,0.0
2023,11,1,313,314,0.32
2023,12,0,7,7,0.0
2023,13,586,3096,3682,15.92
2023,7,179,1772,1951,9.17
2023,AP,0,68,68,0.0
2024,11,5,720,725,0.69
2024,12,0,7,7,0.0
2024,13,722,3479,4201,17.19
2024,7,257,3023,3280,7.84
2024,AP,0,75,75,0.0
2025,11,1,1118,1119,0.09
2025,12,0,9,9,0.0
2025,13,558,3467,4025,13.86
2025,7,345,3502,3847,8.97
2025,AP,0,33,33,0.0
2026,11,1,157,158,0.63
2026,13,95,526,621,15.3
2026,7,56,538,594,9.43
2026,AP,0,10,10,0.0
