disposition,year,count
Hardship Discharge,2002,4
Hardship Discharge,2003,1
Hardship Discharge,2004,4
Hardship Discharge,2005,12
Hardship Discharge,2006,7
Hardship Discharge,2007,14
Hardship Discharge,2008,8
Hardship Discharge,2009,5
Hardship Discharge,2010,10
Hardship Discharge,2011,7
Hardship Discharge,2012,8
Hardship Discharge,2013,11
Hardship Discharge,2014,5
Hardship Discharge,2015,5
Hardship Discharge,2016,12
Hardship Discharge,2017,11
Hardship Discharge,2018,10
Hardship Discharge,2019,9
Hardship Discharge,2020,6
Hardship Discharge,2021,12
Hardship Discharge,2022,7
Hardship Discharge,2023,4
Discharge Revoked,2002,2
Discharge Revoked,2003,9
Discharge Revoked,2004,14
Discharge Revoked,2005,43
Discharge Revoked,2006,7
Discharge Revoked,2007,8
Discharge Revoked,2008,8
Discharge Revoked,2009,4
Discharge Revoked,2010,13
Discharge Revoked,2011,6
Discharge Revoked,2012,5
Discharge Revoked,2013,4
Discharge Revoked,2014,7
Discharge Revoked,2015,6
Discharge Revoked,2016,1
Discharge Revoked,2017,5
Discharge Revoked,2018,4
Discharge Revoked,2020,2
Discharge Revoked,2021,2
Discharge Revoked,2022,1
Discharge Revoked,2023,1
Discharge Revoked,2024,3
Discharge Denied,1986,1
Discharge Denied,1991,1
Discharge Denied,1992,1
Discharge Denied,1993,1
Discharge Denied,1994,3
Discharge Denied,1995,3
Discharge Denied,1996,3
Discharge Denied,1998,3
Discharge Denied,1999,5
Discharge Denied,2000,6
Discharge Denied,2001,9
Discharge Denied,2002,7
Discharge Denied,2003,14
Discharge Denied,2004,14
Discharge Denied,2005,13
Discharge Denied,2006,20
Discharge Denied,2007,27
Discharge Denied,2008,14
Discharge Denied,2009,12
Discharge Denied,2010,16
Discharge Denied,2011,21
Discharge Denied,2012,16
Discharge Denied,2013,16
Discharge Denied,2014,12
Discharge Denied,2015,14
Discharge Denied,2016,12
Discharge Denied,2017,8
Discharge Denied,2018,15
Discharge Denied,2019,14
Discharge Denied,2020,6
Discharge Denied,2021,8
Discharge Denied,2022,8
Discharge Denied,2023,7
Discharge Denied,2024,3
Discharge Denied,2025,1
Dismissed for Abuse,2004,1
Dismissed for Abuse,2005,1
Dismissed for Abuse,2006,7
Dismissed for Abuse,2007,7
Dismissed for Abuse,2008,10
Dismissed for Abuse,2009,8
Dismissed for Abuse,2010,10
Dismissed for Abuse,2011,5
Dismissed for Abuse,2012,10
Dismissed for Abuse,2013,13
Dismissed for Abuse,2014,32
Dismissed for Abuse,2015,41
Dismissed for Abuse,2016,23
Dismissed for Abuse,2017,13
Dismissed for Abuse,2018,11
Dismissed for Abuse,2019,12
Dismissed for Abuse,2020,20
Dismissed for Abuse,2021,18
Dismissed for Abuse,2022,16
Dismissed for Abuse,2023,5
Dismissed for Abuse,2025,2
Discharge Waived,1989,1
Discharge Waived,1991,1
Discharge Waived,1992,1
Discharge Waived,1993,1
Discharge Waived,1995,1
Discharge Waived,1996,3
Discharge Waived,1997,1
Discharge Waived,1998,2
Discharge Waived,1999,4
Discharge Waived,2001,8
Discharge Waived,2002,18
Discharge Waived,2003,21
Discharge Waived,2004,7
Discharge Waived,2008,3
Discharge Waived,2009,3
Discharge Waived,2010,6
Discharge Waived,2011,2
Discharge Waived,2012,1
Discharge Waived,2013,2
Discharge Waived,2014,6
Discharge Waived,2015,3
Discharge Waived,2016,1
Discharge Waived,2017,4
Discharge Waived,2018,2
Discharge Waived,2019,2
Discharge Waived,2020,3
Discharge Waived,2022,3
Discharge Waived,2023,1
Discharge Waived,2024,3
Discharge Waived,2025,1
Dismissed for Want of Prosecution,1987,4
Dismissed for Want of Prosecution,1992,3
Dismissed for Want of Prosecution,1993,3
Dismissed for Want of Prosecution,1994,1
Dismissed for Want of Prosecution,1997,3
Dismissed for Want of Prosecution,1998,4
Dismissed for Want of Prosecution,2000,4
Dismissed for Want of Prosecution,2001,2
Dismissed for Want of Prosecution,2002,1
Dismissed for Want of Prosecution,2003,1
Dismissed for Want of Prosecution,2004,1
Dismissed for Want of Prosecution,2005,4
Dismissed for Want of Prosecution,2006,6
Dismissed for Want of Prosecution,2007,2
Dismissed for Want of Prosecution,2008,4
Dismissed for Want of Prosecution,2009,3
Dismissed for Want of Prosecution,2010,3
Dismissed for Want of Prosecution,2011,4
Dismissed for Want of Prosecution,2012,3
Dismissed for Want of Prosecution,2013,3
Dismissed for Want of Prosecution,2014,2
Dismissed for Want of Prosecution,2015,3
Dismissed for Want of Prosecution,2016,1
Dismissed for Want of Prosecution,2017,7
Dismissed for Want of Prosecution,2019,1
Dismissed for Want of Prosecution,2021,1
Dismissed for Want of Prosecution,2022,1
Dismissed for Want of Prosecution,2023,2
Dismissed for Want of Prosecution,2024,1
