category,district,count
no_info_dismiss,flsbk,745
no_info_dismiss,mowbk,640
no_info_dismiss,txsbk,557
no_info_dismiss,cacbk,106
no_info_dismiss,ksbk,72
no_info_dismiss,flmbk,67
no_info_dismiss,njbk,66
no_info_dismiss,tnwbk,54
no_info_dismiss,wiebk,27
no_info_dismiss,flnbk,20
no_info_dismiss,ohnbk,11
no_info_dismiss,caebk,11
no_info_dismiss,nvbk,8
no_info_dismiss,mabk,6
no_info_dismiss,arebk,4
no_info_dismiss,moebk,3
ch13_plan_failure_dismiss,mowbk,3049
ch13_plan_failure_dismiss,ksbk,3031
ch13_plan_failure_dismiss,flsbk,1854
ch13_plan_failure_dismiss,txsbk,1280
ch13_plan_failure_dismiss,ilnbk,310
ch13_plan_failure_dismiss,flmbk,286
ch13_plan_failure_dismiss,tnwbk,179
ch13_plan_failure_dismiss,innbk,103
ch13_plan_failure_dismiss,wiebk,89
ch13_plan_failure_dismiss,insbk,87
ch13_plan_failure_dismiss,njbk,84
ch13_plan_failure_dismiss,cacbk,79
ch13_plan_failure_dismiss,kywbk,55
ch13_plan_failure_dismiss,moebk,48
ch13_plan_failure_dismiss,kyebk,45
ch13_plan_failure_dismiss,caebk,44
ch13_plan_failure_dismiss,flnbk,33
ch13_plan_failure_dismiss,miebk,24
ch13_plan_failure_dismiss,nvbk,20
ch13_plan_failure_dismiss,ganbk,14
ch13_plan_failure_dismiss,wiwbk,10
ch13_plan_failure_dismiss,vaebk,10
ch13_plan_failure_dismiss,mnbk,9
ch13_plan_failure_dismiss,gambk,9
ch13_plan_failure_dismiss,ilcbk,6
ch13_plan_failure_dismiss,ilsbk,4
ch13_plan_failure_dismiss,ohnbk,4
ch13_plan_failure_dismiss,arebk,3
ch13_plan_failure_dismiss,ncmbk,3
filing_fee_failure_dismiss,txsbk,1061
filing_fee_failure_dismiss,mowbk,948
filing_fee_failure_dismiss,ksbk,344
filing_fee_failure_dismiss,flsbk,168
filing_fee_failure_dismiss,flmbk,87
filing_fee_failure_dismiss,wiebk,52
filing_fee_failure_dismiss,tnwbk,42
filing_fee_failure_dismiss,moebk,13
filing_fee_failure_dismiss,flnbk,6
filing_fee_failure_dismiss,mabk,4
filing_fee_failure_dismiss,arwbk,4
filing_fee_failure_dismiss,ohnbk,3
filing_fee_failure_dismiss,caebk,3
course_failure_no_discharge,mowbk,66
course_failure_no_discharge,flsbk,52
course_failure_no_discharge,txsbk,48
course_failure_no_discharge,ksbk,44
course_failure_no_discharge,flmbk,12
course_failure_no_discharge,innbk,10
course_failure_no_discharge,kyebk,7
course_failure_no_discharge,wiebk,5
course_failure_no_discharge,cacbk,4
course_failure_no_discharge,caebk,4
727a_discharge_denied,flsbk,136
727a_discharge_denied,mowbk,77
727a_discharge_denied,ksbk,28
727a_discharge_denied,ohnbk,16
727a_discharge_denied,txsbk,15
727a_discharge_denied,flmbk,15
727a_discharge_denied,ilnbk,12
727a_discharge_denied,mabk,9
727a_discharge_denied,insbk,7
727a_discharge_denied,kyebk,6
707b_abuse_dismiss,flsbk,205
707b_abuse_dismiss,txsbk,21
707b_abuse_dismiss,mowbk,16
707b_abuse_dismiss,ksbk,7
707b_abuse_dismiss,flmbk,7
707b_abuse_dismiss,mabk,3
727d_discharge_revoked,ksbk,79
727d_discharge_revoked,mowbk,26
727d_discharge_revoked,flsbk,23
727d_discharge_revoked,flmbk,10
727d_discharge_revoked,ohnbk,5
727d_discharge_revoked,txsbk,4
727d_discharge_revoked,moebk,3
discharge_waived,ohnbk,36
discharge_waived,flsbk,34
discharge_waived,txsbk,12
discharge_waived,mowbk,12
discharge_waived,ilnbk,6
discharge_waived,flmbk,4
discharge_waived,ksbk,3
judgment_consent,mowbk,121
judgment_consent,flsbk,92
judgment_consent,ohnbk,59
judgment_consent,ksbk,47
judgment_consent,ilnbk,20
judgment_consent,cacbk,14
judgment_consent,flmbk,12
judgment_consent,miebk,12
judgment_consent,wiebk,6
judgment_consent,tnwbk,5
judgment_consent,moebk,3
judgment_default,flsbk,416
judgment_default,mowbk,194
judgment_default,ohnbk,141
judgment_default,ksbk,80
judgment_default,vaebk,16
judgment_default,wiebk,14
judgment_default,ilnbk,12
judgment_default,flmbk,12
judgment_default,cacbk,6
judgment_default,mdbk,4
judgment_default,mabk,4
1328b_hardship_discharge,ksbk,89
1328b_hardship_discharge,mowbk,52
1328b_hardship_discharge,txsbk,11
1328b_hardship_discharge,flsbk,6
1328b_hardship_discharge,kywbk,4
