court,date,filings
mowbk,2005-10-14,198
flsbk,2005-10-14,184
mowbk,2005-10-15,174
txsbk,2005-10-15,159
ksbk,2005-10-14,153
ksbk,2005-10-15,147
txsbk,2005-10-14,145
txnbk,2025-07-09,137
txsbk,2004-11-01,126
txsbk,2005-01-03,109
ksbk,2005-10-13,105
mowbk,2005-10-12,103
txsbk,2003-03-03,97
txsbk,2005-10-16,93
ksbk,2005-10-12,86
txsbk,2005-08-01,85
flsbk,2003-04-23,84
txsbk,2003-06-02,83
txsbk,2004-03-01,82
txsbk,2003-12-01,81
txsbk,2003-02-03,80
flsbk,2010-06-21,79
flsbk,2005-10-13,74
mowbk,2005-10-13,73
flsbk,2001-05-07,71
flsbk,2020-09-18,70
ilnbk,1999-04-21,66
txsbk,2003-09-01,65
txsbk,2004-01-05,65
txsbk,2004-04-05,65
txsbk,2004-08-02,65
txsbk,2004-10-04,65
flsbk,2001-03-12,64
txsbk,2003-08-01,64
txsbk,2004-07-01,64
txsbk,2002-08-02,63
flsbk,2001-11-19,62
flsbk,2002-06-10,62
txsbk,2004-12-06,62
flsbk,2001-04-30,61
flsbk,2001-04-23,60
ksbk,2005-10-16,60
txsbk,2004-02-02,60
flsbk,2001-07-02,59
flsbk,2001-06-18,58
flsbk,2002-07-09,58
ilnbk,1998-09-16,58
txsbk,2002-09-02,58
txsbk,2002-11-01,58
txsbk,2003-01-03,58
flsbk,2001-04-09,57
flsbk,2003-04-04,57
flsbk,2003-05-02,57
flsbk,2024-10-31,57
txsbk,2001-04-02,57
txsbk,2002-12-02,57
txsbk,2005-10-01,57
flsbk,2001-03-19,56
flsbk,2001-11-05,56
flsbk,2001-01-16,55
flsbk,2014-10-03,55
txsbk,2004-02-01,55
flsbk,2001-05-21,54
flsbk,2001-10-29,54
flsbk,2002-10-15,54
txsbk,2002-07-01,54
txsbk,2005-10-13,54
flsbk,2001-07-30,53
flsbk,2001-10-09,53
ilnbk,1999-04-28,53
flsbk,2001-09-17,52
flsbk,2002-03-08,52
txsbk,2004-05-03,52
flsbk,2001-01-22,51
flsbk,2001-01-29,51
flsbk,2001-08-20,51
flsbk,2001-11-13,51
flsbk,2002-10-29,51
flsbk,2003-02-14,51
flsbk,2003-03-28,51
txsbk,2004-08-01,51
txsbk,2005-03-01,51
txsbk,2005-04-01,51
flsbk,2001-04-02,50
flsbk,2001-05-14,50
flsbk,2001-10-01,50
flsbk,2001-10-22,50
flsbk,2001-12-10,50
flsbk,2003-02-10,50
mowbk,2005-09-28,50
txnbk,2025-07-10,50
flsbk,2001-08-13,49
flsbk,2002-04-15,49
flsbk,2003-01-21,49
flsbk,2024-11-15,49
ilnbk,1999-04-14,49
txsbk,2000-10-02,49
txsbk,2005-06-06,49
txsbk,2006-10-02,49
flsbk,2000-12-11,48
flsbk,2000-12-18,48
flsbk,2001-03-05,48
flsbk,2001-08-06,48
flsbk,2001-11-26,48
flsbk,2002-01-28,48
flsbk,2024-11-27,48
ilnbk,1999-02-10,48
mowbk,2005-10-05,48
mowbk,2005-10-16,48
flsbk,2001-06-25,47
flsbk,2002-11-08,47
flsbk,2003-03-18,47
flsbk,2024-10-25,47
ilnbk,1998-04-08,47
ilnbk,1998-09-09,47
ilnbk,1998-11-25,47
ilnbk,1999-05-27,47
flsbk,2001-02-26,46
flsbk,2001-07-23,46
flsbk,2002-01-14,46
flsbk,2002-09-03,46
flsbk,2003-05-09,46
flsbk,2003-05-13,46
ilnbk,1999-03-24,46
ksbk,2005-10-11,46
txsbk,2000-09-01,46
txsbk,2002-05-03,46
flsbk,2001-02-05,45
flsbk,2002-06-28,45
flsbk,2003-05-06,45
txnbk,2025-12-04,45
txsbk,2003-08-04,45
txsbk,2003-11-03,45
txsbk,2004-07-05,45
txsbk,2004-09-03,45
flsbk,2000-11-20,44
flsbk,2001-06-04,44
flsbk,2002-01-22,44
flsbk,2002-05-21,44
flsbk,2003-01-31,44
ilnbk,1998-08-12,44
ilnbk,1999-03-31,44
txsbk,2002-04-01,44
txsbk,2003-05-02,44
txsbk,2005-10-03,44
flsbk,2001-04-16,43
flsbk,2001-06-11,43
flsbk,2001-09-24,43
flsbk,2002-03-04,43
flsbk,2003-04-08,43
ilnbk,1998-04-22,43
ilnbk,1999-05-05,43
txsbk,2003-10-03,43
flsbk,2000-12-04,42
flsbk,2001-02-20,42
flsbk,2001-03-26,42
flsbk,2009-07-30,42
flsbk,2015-03-18,42
flsbk,2018-09-15,42
flsbk,2024-10-18,42
ilnbk,1998-07-01,42
ilnbk,1999-12-23,42
txsbk,2003-05-05,42
txsbk,2004-04-02,42
txsbk,2005-04-04,42
flsbk,2000-12-26,41
flsbk,2002-02-26,41
flsbk,2002-04-30,41
flsbk,2002-05-28,41
flsbk,2002-11-12,41
flsbk,2003-03-14,41
flsbk,2024-11-22,41
ilnbk,1999-03-03,41
mowbk,2005-09-21,41
txsbk,2002-09-27,41
txsbk,2003-06-27,41
txsbk,2005-02-01,41
flsbk,2001-01-08,40
flsbk,2001-02-12,40
flsbk,2001-06-20,40
flsbk,2001-09-10,40
flsbk,2001-12-17,40
flsbk,2002-12-27,40
flsbk,2003-06-09,40
flsbk,2003-07-14,40
ilnbk,1998-05-13,40
ilnbk,1998-06-03,40
ilnbk,1998-11-04,40
mabk,2005-10-12,40
mowbk,2005-10-10,40
txsbk,1997-01-06,40
txsbk,2005-09-02,40
vaebk,2012-10-18,40
flsbk,2001-07-09,39
flsbk,2002-06-25,39
flsbk,2002-12-06,39
flsbk,2003-02-25,39
flsbk,2003-03-07,39
flsbk,2005-10-11,39
ilnbk,1998-06-24,39
