date,nationwide_filings
2005-10-14,746
2005-10-15,530
2005-10-13,380
2005-10-12,312
2005-10-16,261
2005-10-11,173
2004-11-01,168
2025-07-09,167
2003-03-03,153
2004-03-01,137
2003-05-02,131
2005-01-03,131
2003-06-02,127
2005-10-06,121
2002-11-01,120
2004-04-05,118
2003-04-23,117
2001-04-02,115
2005-10-03,113
2003-01-03,112
2024-10-31,110
2003-03-28,109
2005-10-05,109
2003-02-03,108
2003-12-01,106
2002-12-02,105
2005-09-28,104
2010-08-31,103
2005-09-21,103
2003-05-05,101
2010-06-21,100
2003-08-04,97
2005-08-01,97
2003-08-01,96
2004-10-04,96
2003-05-13,95
2003-04-08,94
2003-05-06,94
2010-03-31,93
2004-01-05,93
2005-10-07,92
2004-02-02,92
2019-10-31,89
2012-04-30,89
2019-06-28,88
2018-11-30,88
2003-01-21,88
2024-11-27,87
2014-03-31,86
2025-08-29,86
2003-04-04,86
2005-09-14,86
2004-12-06,86
2005-10-10,86
2000-12-04,85
2003-02-10,85
2005-03-01,85
2009-06-30,85
2019-07-31,85
2020-09-18,85
2009-08-31,85
2001-05-07,85
2002-08-02,85
2010-06-30,84
2009-11-30,84
2003-05-09,84
2005-10-04,84
2001-03-19,83
2003-11-03,83
2017-02-28,82
2018-05-31,82
2011-03-31,82
2018-10-31,82
2008-07-31,82
2003-06-30,82
2024-10-25,81
2010-07-30,81
2001-06-18,81
2002-10-15,81
2004-08-02,81
2019-03-29,80
2019-05-31,80
2025-07-10,80
2009-07-30,80
2002-07-09,80
2001-03-05,80
2015-03-18,79
2019-04-30,79
2009-04-30,79
2011-11-30,79
2014-04-30,79
2005-09-02,79
2008-06-30,79
2003-10-14,78
2011-01-31,78
2013-07-31,78
2001-11-05,78
2005-10-08,78
2019-09-30,77
2001-02-05,77
2003-03-18,77
2003-09-02,77
2025-12-04,77
2016-06-30,76
2025-06-30,76
2019-01-31,76
2019-02-28,76
2001-04-30,76
2003-02-14,76
2001-11-19,76
2015-02-27,76
2016-11-30,76
2002-07-01,76
2004-07-01,76
2005-09-29,76
2001-07-02,76
2008-04-30,76
2024-07-31,75
2012-02-29,75
2018-04-30,75
2003-02-25,75
2003-09-29,75
2009-03-31,75
2009-07-31,75
2011-05-31,75
2010-05-28,75
2003-03-14,75
2004-05-03,75
2001-01-16,75
2002-06-10,75
2002-09-03,75
2005-06-06,75
2008-09-30,75
2019-05-17,74
2025-02-28,74
2001-01-22,74
2013-04-30,74
2002-11-12,74
2003-03-31,74
2018-06-29,74
2002-10-29,74
2003-03-19,74
2005-04-04,74
1999-04-21,74
2001-10-09,74
2007-10-31,74
2024-11-22,73
2025-04-30,73
2002-09-27,73
2011-02-28,73
2011-09-30,73
2002-03-08,73
2003-01-31,73
2003-06-27,73
2003-10-31,73
2001-10-01,73
2016-08-31,72
2014-05-30,72
2003-04-11,72
2014-06-30,72
2001-06-04,72
2001-04-09,72
2012-10-18,71
2019-08-30,71
2017-08-31,71
2003-02-18,71
2003-02-28,71
2015-04-30,71
2005-09-30,71
2001-04-23,71
2001-08-13,71
2025-09-30,70
2024-11-26,70
2003-04-15,70
2012-03-30,70
2017-07-31,70
2010-09-30,70
2002-11-08,70
2003-05-19,70
2003-10-03,70
2024-11-15,70
2007-08-31,70
2018-09-28,69
2024-10-30,69
2025-11-14,69
2016-03-31,69
2025-03-31,69
2001-03-12,69
2019-12-31,68
2025-03-07,68
2001-11-13,68
2003-04-16,68
2003-05-01,68
2009-12-31,68
2010-04-30,68
2011-04-29,68
2014-09-30,68
2017-03-31,68
2002-05-03,68
2003-06-09,68
